id,popularity,revenue,status,vote_average,vote_count,trend_day
451048,3034.948,186992318,Released,7.9,2385,2021-09-06
568620,320.17,36964325,Released,7.1,401,2021-09-06
579047,429.159,10914000,Released,7.2,492,2021-09-06
482373,3323.499,37000009,Released,7.7,325,2021-09-07
593910,1208.329,0,Released,6.9,333,2021-09-07
566525,3909.563,146200000,Released,8.0,411,2021-09-07
436969,3075.608,155379000,Released,8.0,3529,2021-09-07
385128,1372.77,704238175,Released,7.5,3439,2021-09-07
785457,207.801,0,Released,7.2,102,2021-09-07
649394,60.602,0,Released,7.3,25,2021-09-07
497698,2009.325,369811043,Released,7.8,4793,2021-09-07
744275,1700.339,9200000,Released,8.7,180,2021-09-07
841755,717.57,0,Released,8.3,68,2021-09-07
300669,506.721,159047649,Released,7.0,5490,2021-09-07
645788,106.293,5848920,Released,6.8,131,2021-09-07
653349,1194.578,0,Released,7.5,174,2021-09-07
451048,2490.25,186992318,Released,7.9,2407,2021-09-07
550988,1685.525,182630056,Released,7.8,569,2021-09-07
675319,113.305,0,Released,5.9,11,2021-09-07
661595,41.909,0,Released,6.6,17,2021-09-07
625169,200.97,3615193,Released,8.0,25,2021-09-07
568620,353.276,36964325,Released,7.1,409,2021-09-07
438631,172.559,0,Released,0.0,0,2021-09-07
585216,163.261,31051732,Released,6.7,104,2021-09-08
482373,3850.271,37000009,Released,7.7,364,2021-09-08
566525,3513.96,150872848,Released,8.0,456,2021-09-08
593910,1691.661,0,Released,6.9,373,2021-09-08
497698,1737.597,370037090,Released,7.8,4813,2021-09-08
436969,2684.789,162000000,Released,8.0,3565,2021-09-08
385128,1203.491,704238175,Released,7.5,3458,2021-09-08
649394,84.843,0,Released,7.2,33,2021-09-08
744275,1496.173,9200000,Released,8.7,185,2021-09-08
785457,290.921,0,Released,7.1,114,2021-09-08
841755,1004.598,0,Released,8.3,77,2021-09-08
619778,244.497,2400000,Released,6.3,46,2021-09-08
550988,1322.151,241811214,Released,7.7,577,2021-09-08
726916,23.874,0,Released,0.0,1,2021-09-08
300669,428.366,159047649,Released,7.0,5500,2021-09-08
438631,155.88,0,Released,2.0,1,2021-09-08
585216,228.565,44888959,Released,6.7,120,2021-09-09
482373,3581.263,37000009,Released,7.7,395,2021-09-09
497698,1671.533,370037090,Released,7.8,4833,2021-09-09
566525,3228.037,150872848,Released,8.0,502,2021-09-09
593910,2284.467,0,Released,6.9,397,2021-09-09
436969,2535.755,162000000,Released,8.0,3583,2021-09-09
726916,33.424,0,Released,6.7,3,2021-09-09
385128,1137.17,704238175,Released,7.5,3480,2021-09-09
744275,1394.667,9200000,Released,8.6,187,2021-09-09
619778,276.098,2400000,Released,6.4,56,2021-09-09
649394,118.78,0,Released,7.3,38,2021-09-09
624860,49.508,0,Post Production,0.0,0,2021-09-09
785457,407.289,0,Released,7.1,122,2021-09-09
550988,1168.371,241811214,Released,7.7,585,2021-09-09
438631,145.994,0,Released,5.8,3,2021-09-09
841755,1406.437,0,Released,8.2,82,2021-09-09
664236,37.726,0,Released,6.5,4,2021-09-09
579047,271.578,10914000,Released,7.2,521,2021-09-09
522681,136.052,155313078,Released,6.5,3235,2021-09-09
451048,1931.33,186992318,Released,7.9,2444,2021-09-09
585216,319.991,44888959,Released,6.9,152,2021-09-10
597891,79.314,0,Released,5.4,5,2021-09-10
619778,380.369,2400000,Released,6.4,65,2021-09-10
645710,12.093,0,Released,7.0,2,2021-09-10
566525,3076.69,150872848,Released,8.0,552,2021-09-10
482373,3347.437,37000009,Released,7.6,419,2021-09-10
497698,1582.569,370037090,Released,7.8,4861,2021-09-10
593910,2153.246,0,Released,6.9,423,2021-09-10
726916,46.794,0,Released,6.0,6,2021-09-10
853588,30.81,0,Released,6.3,3,2021-09-10
624860,69.311,0,Post Production,0.0,0,2021-09-10
436969,2394.24,162000000,Released,8.0,3614,2021-09-10
385128,1106.77,704238175,Released,7.5,3494,2021-09-10
744275,1332.732,9200000,Released,8.6,191,2021-09-10
861604,42.718,0,Released,7.5,1,2021-09-10
550988,1119.633,241811214,Released,7.7,594,2021-09-10
649394,166.292,0,Released,7.1,43,2021-09-10
438631,146.75,0,Released,4.6,4,2021-09-10
522681,184.026,155313078,Released,6.5,3239,2021-09-10
603,134.092,463517383,Released,8.2,19773,2021-09-10
597891,111.04,0,Released,6.2,41,2021-09-11
619778,532.517,2400000,Released,7.1,118,2021-09-11
645710,16.93,0,Released,6.6,12,2021-09-11
585216,447.987,44888959,Released,6.9,178,2021-09-11
853588,43.134,0,Released,4.7,10,2021-09-11
497698,1523.169,370037090,Released,7.8,4885,2021-09-11
566525,2872.93,150872848,Released,8.0,604,2021-09-11
482373,2935.743,37000009,Released,7.6,441,2021-09-11
385128,1070.289,704238175,Released,7.5,3518,2021-09-11
593910,1826.18,0,Released,6.9,448,2021-09-11
436969,2277.654,162000000,Released,8.0,3642,2021-09-11
726916,65.512,0,Released,6.3,8,2021-09-11
624860,97.035,0,Post Production,0.0,0,2021-09-11
523366,19.551,3175644,Released,7.7,82,2021-09-11
744275,1210.635,9200000,Released,8.6,194,2021-09-11
861604,59.805,0,Released,7.8,3,2021-09-11
550988,1079.301,241811214,Released,7.7,601,2021-09-11
438631,147.008,0,Released,4.6,4,2021-09-11
522681,257.636,155313078,Released,6.5,3242,2021-09-11
603,187.729,463517383,Released,8.2,19782,2021-09-11
597891,155.456,0,Released,6.4,102,2021-09-12
619778,745.524,2400000,Released,7.3,198,2021-09-12
645710,23.702,0,Released,6.9,30,2021-09-12
853588,60.388,0,Released,3.7,24,2021-09-12
585216,627.182,44888959,Released,7.0,211,2021-09-12
497698,1685.505,370037090,Released,7.8,4908,2021-09-12
566525,3000.897,166000000,Released,8.0,654,2021-09-12
482373,2804.468,37000009,Released,7.6,471,2021-09-12
436969,2476.307,162000000,Released,8.0,3680,2021-09-12
385128,1252.927,704238175,Released,7.5,3537,2021-09-12
593910,1916.06,0,Released,6.9,476,2021-09-12
523366,27.371,3175644,Released,7.7,82,2021-09-12
726916,91.717,0,Released,6.0,11,2021-09-12
624860,135.849,0,Post Production,0.0,0,2021-09-12
744275,1218.7,9200000,Released,8.6,206,2021-09-12
861604,63.408,0,Released,7.8,3,2021-09-12
451048,1916.455,193000000,Released,7.9,2498,2021-09-12
438631,168.927,0,Released,6.4,6,2021-09-12
337404,790.359,222042571,Released,8.3,5291,2021-09-12
550988,1272.683,241811214,Released,7.8,612,2021-09-12
597891,217.638,0,Released,6.6,165,2021-09-13
619778,1043.734,15070000,Released,7.3,262,2021-09-13
645710,33.183,0,Released,7.0,50,2021-09-13
853588,84.543,0,Released,4.1,56,2021-09-13
585216,878.055,44888959,Released,7.0,237,2021-09-13
497698,2110.202,370037090,Released,7.8,4927,2021-09-13
566525,3247.45,257000000,Released,8.0,700,2021-09-13
385128,1648.35,704238175,Released,7.5,3567,2021-09-13
482373,3048.408,37000009,Released,7.6,499,2021-09-13
436969,3168.796,162000000,Released,8.0,3717,2021-09-13
593910,2055.235,0,Released,6.9,501,2021-09-13
567748,29.351,0,Released,0.0,0,2021-09-13
523366,38.319,3175644,Released,7.7,85,2021-09-13
600583,10.37,0,Released,0.0,0,2021-09-13
744275,1232.869,9200000,Released,8.5,214,2021-09-13
726916,128.404,0,Released,6.3,15,2021-09-13
675445,1977.179,81000000,Released,8.0,389,2021-09-13
438631,186.151,0,Released,6.6,9,2021-09-13
675319,59.184,0,Released,6.1,22,2021-09-13
451048,2422.668,193000000,Released,7.9,2522,2021-09-13
597891,304.693,0,Released,6.7,209,2021-09-14
619778,1461.228,15070000,Released,7.4,304,2021-09-14
645710,46.456,0,Released,6.9,66,2021-09-14
853588,118.36,0,Released,4.0,69,2021-09-14
585216,1229.277,44888959,Released,7.0,259,2021-09-14
497698,1741.452,370037090,Released,7.8,4945,2021-09-14
566525,2843.563,257000000,Released,8.0,733,2021-09-14
385128,1289.555,704238175,Released,7.5,3589,2021-09-14
567748,41.091,0,Released,0.0,0,2021-09-14
